mapped_id,original_id,organism,prot_type,toxin_class,gene_superfamily,pharmacological_family,cystein_framework,evidence
P08509,P08509|C1.2|Conus catus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P08511,P08511|C4.7|Conus catus|Wild type|conotoxin|A superfamily||IV|protein level,Conus catus,Wild type,conotoxin,A superfamily,,IV,protein level
P08512,P08512|C4.8|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08513,P08513|C6.9|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P08514,P08514|C6.10|Conus catus|Wild type|conotoxin|O1 superfamily||XVI|protein level,Conus catus,Wild type,conotoxin,O1 superfamily,,XVI,protein level
P08515,P08515|C6.13|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P08516,P08516|C6.15|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P08517,P08517|C6.16|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P08518,P08518|C6.17|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|protein level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,protein level
P08519,P08519|C6.20|Conus catus|Wild type|conotoxin|O2 superfamily||VI/VII|protein level,Conus catus,Wild type,conotoxin,O2 superfamily,,VI/VII,protein level
P08520,P08520|C6.21|Conus catus|Wild type|conotoxin|O2 superfamily||VI/VII|protein level,Conus catus,Wild type,conotoxin,O2 superfamily,,VI/VII,protein level
P08521,P08521|C8.1|Conus catus|Wild type|conotoxin|S superfamily||VIII|protein level,Conus catus,Wild type,conotoxin,S superfamily,,VIII,protein level
P08522,P08522|C8.2|Conus catus|Wild type|conotoxin|S superfamily||VIII|protein level,Conus catus,Wild type,conotoxin,S superfamily,,VIII,protein level
P08523,P08523|C8.4|Conus catus|Wild type|conotoxin|S superfamily||VIII|protein level,Conus catus,Wild type,conotoxin,S superfamily,,VIII,protein level
P08524,P08524|C22.1|Conus catus|Wild type|conotoxin|I1 superfamily||XXII|protein level,Conus catus,Wild type,conotoxin,I1 superfamily,,XXII,protein level
P08525,P08525|C22.4|Conus catus|Wild type|conotoxin|I1 superfamily||XXII|protein level,Conus catus,Wild type,conotoxin,I1 superfamily,,XXII,protein level
P08526,P08526|C22.5|Conus catus|Wild type|conotoxin|I1 superfamily||XXII|protein level,Conus catus,Wild type,conotoxin,I1 superfamily,,XXII,protein level
P08527,P08527|Conkunitzin-C1|Conus catus|Wild type|conkunitzin||||protein level,Conus catus,Wild type,conkunitzin,,,,protein level
P08528,P08528|Conkunitzin-C2|Conus catus|Wild type|conkunitzin||||protein level,Conus catus,Wild type,conkunitzin,,,,protein level
P08529,P08529|Conkunitzin-C3|Conus catus|Wild type|conkunitzin||||protein level,Conus catus,Wild type,conkunitzin,,,,protein level
P08530,P08530|Conkunitzin-C5|Conus catus|Wild type|conkunitzin||||protein level,Conus catus,Wild type,conkunitzin,,,,protein level
P08531,P08531|Conoporin-C102|Conus catus|Wild type|conoporin||||protein level,Conus catus,Wild type,conoporin,,,,protein level
P08532,P08532|reg3b precursor|Conus regius|Precursor|conotoxin|||III|nucleic acid level,Conus regius,Precursor,conotoxin,,,III,nucleic acid level
P08533,P08533|reg3e|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08534,P08534|reg3k|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08535,P08535|reg3k precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08536,P08536|reg3f|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08537,P08537|reg3f precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08538,P08538|reg3h|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08539,P08539|reg3h precursor|Conus regius|Precursor|conotoxin|||III|nucleic acid level,Conus regius,Precursor,conotoxin,,,III,nucleic acid level
P08540,P08540|reg3j|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08541,P08541|reg3l|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08542,P08542|reg12l precursor|Conus regius|Precursor|conotoxin|||III|nucleic acid level,Conus regius,Precursor,conotoxin,,,III,nucleic acid level
P08543,P08543|reg3m|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08544,P08544|reg3.5|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08545,P08545|reg3.5 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08546,P08546|reg3.6|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08547,P08547|reg3.6 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08548,P08548|reg3.7|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08549,P08549|reg3.7 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08550,P08550|reg3.8|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08551,P08551|reg3.8 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08552,P08552|reg3.9|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08553,P08553|reg3.9 precursor|Conus regius|Precursor|conotoxin|||III|nucleic acid level,Conus regius,Precursor,conotoxin,,,III,nucleic acid level
P08554,P08554|reg3.10|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08555,P08555|reg3.10 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08556,P08556|reg3.11|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08557,P08557|reg3.11 precursor|Conus regius|Precursor|conotoxin|||III|nucleic acid level,Conus regius,Precursor,conotoxin,,,III,nucleic acid level
P08558,P08558|reg3.12|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08559,P08559|reg3.12 precursor|Conus regius|Precursor|conotoxin|||III|nucleic acid level,Conus regius,Precursor,conotoxin,,,III,nucleic acid level
P08560,P08560|reg3g|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08561,P08561|reg3i|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08562,P08562|reg3.14|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08563,P08563|reg3.14 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08564,P08564|reg3.15|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08565,P08565|reg3.15 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08566,P08566|reg3.16|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08567,P08567|reg3.16 precursor|Conus regius|Wild type|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Wild type,conotoxin,M superfamily,,III,nucleic acid level
P08568,P08568|reg3.17|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08569,P08569|reg3.17 precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08570,P08570|reg3a|Conus regius|Wild type|conotoxin|M superfamily||III|protein level,Conus regius,Wild type,conotoxin,M superfamily,,III,protein level
P08571,P08571|reg3a precursor|Conus regius|Precursor|conotoxin|M superfamily||III|nucleic acid level,Conus regius,Precursor,conotoxin,M superfamily,,III,nucleic acid level
P08572,P08572|reg3c|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08573,P08573|reg3d|Conus regius|Wild type|conotoxin|||III|protein level,Conus regius,Wild type,conotoxin,,,III,protein level
P08574,P08574|Conantokin-E2|Conus ermineus|Wild type|conantokin|B1 superfamily|||nucleic acid level,Conus ermineus,Wild type,conantokin,B1 superfamily,,,nucleic acid level
P08575,P08575|Vx27.1 precursor|Conus vexillum|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus vexillum,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08576,P08576|Vx27.1|Conus vexillum|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus vexillum,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08577,P08577|Vr27.1 precursor|Conus varius|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus varius,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08578,P08578|Vr27.1|Conus varius|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus varius,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08580,P08580|Ml27.1|Conus miliaris|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus miliaris,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08581,P08581|Ml27.1 precursor|Conus miliaris|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus miliaris,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08582,P08582|Eb27.1 precursor|Conus ebraeus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08583,P08583|Eb27.1|Conus ebraeus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08584,P08584|Eb27.2 precursor|Conus ebraeus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08585,P08585|Eb27.2|Conus ebraeus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08586,P08586|Eb27.3 precursor|Conus ebraeus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08587,P08587|Eb27.3|Conus ebraeus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08588,P08588|Eb27.4 precursor|Conus ebraeus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08589,P08589|Eb27.4|Conus ebraeus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus ebraeus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08590,P08590|Ml27.2 precursor|Conus miliaris|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus miliaris,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08591,P08591|Ml27.2|Conus miliaris|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus miliaris,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08592,P08592|Di27.1 precursor|Conus distans|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus distans,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08593,P08593|Di27.1|Conus distans|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus distans,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08594,P08594|Di27.2 precursor|Conus distans|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus distans,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08595,P08595|Di27.2|Conus distans|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus distans,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08596,P08596|Pl27.1 precursor|Conus planorbis|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus planorbis,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08597,P08597|Pl27.1|Conus planorbis|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus planorbis,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08598,P08598|Fla27.1 precursor|Conus flavidus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus flavidus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08599,P08599|Fla27.1|Conus flavidus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus flavidus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08600,P08600|Fla27.2 precursor|Conus flavidus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus flavidus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08601,P08601|Fla27.2|Conus flavidus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus flavidus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08602,P08602|Sa27.1 precursor|Conus sanguinolentus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus sanguinolentus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08603,P08603|Sa27.1|Conus sanguinolentus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus sanguinolentus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08604,P08604|Rt27.1 precursor|Conus rattus|Precursor|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus rattus,Precursor,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08605,P08605|Rt27.1|Conus rattus|Wild type|conotoxin|G2 superfamily||XXVII|nucleic acid level,Conus rattus,Wild type,conotoxin,G2 superfamily,,XXVII,nucleic acid level
P08608,P08608|C3.2|Conus catus|Wild type|conotoxin|M superfamily||III|protein level,Conus catus,Wild type,conotoxin,M superfamily,,III,protein level
P08609,P08609|C1.4|Conus catus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P08610,P08610|C1.5|Conus catus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P08611,P08611|C1.6|Conus catus|Wild type|conotoxin|A superfamily||I|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,I,nucleic acid level
P08612,P08612|C4.4|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08613,P08613|C4.5|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08614,P08614|C4.6|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08617,P08617|C4.9|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08618,P08618|C4.10|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08619,P08619|C4.11|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08620,P08620|C4.12|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08621,P08621|C4.13|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08622,P08622|C4.14|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08623,P08623|C4.15|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08624,P08624|C4.16|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08625,P08625|C4.17|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08626,P08626|C4.18|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08627,P08627|C4.19|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08628,P08628|C4.20|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08629,P08629|C4.21|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08630,P08630|C028|Conus catus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P08631,P08631|C4.22|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08632,P08632|C031|Conus catus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P08633,P08633|C4.23|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08634,P08634|C4.24|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08635,P08635|C4.25|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08636,P08636|C4.26|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08637,P08637|C036|Conus catus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P08638,P08638|C4.27|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08639,P08639|C4.28|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08640,P08640|C4.29|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08641,P08641|C4.30|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08642,P08642|C4.31|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08643,P08643|C4.32|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08644,P08644|C4.33|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08645,P08645|C4.34|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08646,P08646|C4.35|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08647,P08647|C047|Conus catus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P08648,P08648|C4.36|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08649,P08649|C4.37|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08650,P08650|C4.38|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08651,P08651|C051|Conus catus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P08652,P08652|C4.39|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08653,P08653|C4.40|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08654,P08654|C4.41|Conus catus|Wild type|conotoxin|A superfamily||IV|nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,IV,nucleic acid level
P08655,P08655|C055|Conus catus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P08656,P08656|C056|Conus catus|Wild type|conotoxin|A superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,A superfamily,,,nucleic acid level
P08657,P08657|C6.11|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P08658,P08658|C6.12|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P08659,P08659|C6.14|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P08660,P08660|C6.18|Conus catus|Wild type|conotoxin|O1 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O1 superfamily,,VI/VII,nucleic acid level
P08661,P08661|C073|Conus catus|Wild type|conotoxin|O2 superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,O2 superfamily,,,nucleic acid level
P08662,P08662|C074|Conus catus|Wild type|conotoxin|O2 superfamily|||nucleic acid level,Conus catus,Wild type,conotoxin,O2 superfamily,,,nucleic acid level
P08663,P08663|C6.19|Conus catus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P08664,P08664|C6.22|Conus catus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P08665,P08665|C6.23|Conus catus|Wild type|conotoxin|O2 superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,O2 superfamily,,VI/VII,nucleic acid level
P08666,P08666|C8.3|Conus catus|Wild type|conotoxin|S superfamily||VIII|nucleic acid level,Conus catus,Wild type,conotoxin,S superfamily,,VIII,nucleic acid level
P08667,P08667|C8.5|Conus catus|Wild type|conotoxin|S superfamily||VIII|nucleic acid level,Conus catus,Wild type,conotoxin,S superfamily,,VIII,nucleic acid level
P08668,P08668|C3.1|Conus catus|Wild type|conotoxin|M superfamily||III|nucleic acid level,Conus catus,Wild type,conotoxin,M superfamily,,III,nucleic acid level
P08669,P08669|C3.3|Conus catus|Wild type|conotoxin|M superfamily||III|nucleic acid level,Conus catus,Wild type,conotoxin,M superfamily,,III,nucleic acid level
P08670,P08670|C22.2|Conus catus|Wild type|conotoxin|I1 superfamily||XXII|nucleic acid level,Conus catus,Wild type,conotoxin,I1 superfamily,,XXII,nucleic acid level
P08671,P08671|C22.3|Conus catus|Wild type|conotoxin|I1 superfamily||XXII|nucleic acid level,Conus catus,Wild type,conotoxin,I1 superfamily,,XXII,nucleic acid level
P08672,P08672|Conkunitzin-C4|Conus catus|Wild type|conkunitzin||||nucleic acid level,Conus catus,Wild type,conkunitzin,,,,nucleic acid level
P08673,P08673|Conopeptide-C098|Conus catus|Wild type|unclassified||||nucleic acid level,Conus catus,Wild type,unclassified,,,,nucleic acid level
P08674,P08674|Conopeptide-C099|Conus catus|Wild type|unclassified||||nucleic acid level,Conus catus,Wild type,unclassified,,,,nucleic acid level
P08675,P08675|C6.24|Conus catus|Wild type|conotoxin|Y superfamily||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,Y superfamily,,VI/VII,nucleic acid level
P08676,P08676|Contulakin-C101|Conus catus|Wild type|contulakin||||nucleic acid level,Conus catus,Wild type,contulakin,,,,nucleic acid level
P08677,P08677|C6.25|Conus catus|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,,,VI/VII,nucleic acid level
P08678,P08678|C6.26|Conus catus|Wild type|conotoxin|||VI/VII|nucleic acid level,Conus catus,Wild type,conotoxin,,,VI/VII,nucleic acid level
P08679,P08679|FlfXIVC precursor|Conus anabathrum|Precursor|conotoxin|R superfamily||XIV|nucleic acid level,Conus anabathrum,Precursor,conotoxin,R superfamily,,XIV,nucleic acid level
P08680,P08680|Am6.8|Conus amadis|Wild type|conotoxin|||VI/VII|protein level,Conus amadis,Wild type,conotoxin,,,VI/VII,protein level
P08682,P08682|Vu9.1 precursor|Profundiconus cf. vaubani|Precursor|conotoxin|||IX|nucleic acid level,Profundiconus cf. vaubani,Precursor,conotoxin,,,IX,nucleic acid level
P08683,P08683|Vu9.1|Profundiconus cf. vaubani|Wild type|conotoxin|||IX|nucleic acid level,Profundiconus cf. vaubani,Wild type,conotoxin,,,IX,nucleic acid level
P08684,P08684|Ne6.1 precursor|Profundiconus neocaledonicus|Precursor|conotoxin|||VI/VII|nucleic acid level,Profundiconus neocaledonicus,Precursor,conotoxin,,,VI/VII,nucleic acid level
